"","Week","person","mental","max_score","proportion"
"1",0,"Child",0.868994751715785,2,0.434497375857893
"2",0,"Parent",0.927937020589423,4,0.231984255147356
"3",1,"Child",0.812580231065469,2,0.406290115532734
"4",1,"Parent",1.46580387205387,4,0.366450968013468
"5",2,"Child",0.792596348884381,2,0.396298174442191
"6",2,"Parent",1.44508333333333,4,0.361270833333333
"7",3,"Child",0.779228149829739,2,0.389614074914869
"8",3,"Parent",1.38574660633484,4,0.34643665158371
"9",4,"Child",0.759237187127533,2,0.379618593563766
"10",4,"Parent",1.37633769322235,4,0.344084423305589
